,State,"Population estimate, July 1, 2019[2]","Percent change, 2010â€“2019[note 1]","Percent of the total U.S. population, 2018[note 3]"
0,California,39512223,6.1%,11.96%
1,Texas,28995881,15.3%,8.68%
2,Florida,21477737,14.2%,6.44%
3,New York,19453561,0.4%,5.91%
4,Pennsylvania,12801989,0.8%,3.87%
5,Illinois,12671821,-1.2%,3.85%
6,Ohio,11689100,1.3%,3.53%
7,Georgia,10617423,9.6%,3.18%
8,North Carolina,10488084,10.0%,3.14%
9,Michigan,9986857,1.0%,3.02%
10,New Jersey,8882190,1.0%,2.69%
11,Virginia,8535519,6.7%,2.58%
12,Washington,7614893,13.2%,2.28%
13,Arizona,7278717,13.9%,2.17%
14,Massachusetts,6949503,5.3%,2.09%
15,Tennessee,6833174,7.6%,2.05%
16,Indiana,6732219,3.8%,2.02%
17,Missouri,6137428,2.5%,1.85%
18,Maryland,6045680,4.7%,1.83%
19,Wisconsin,5822434,2.4%,1.76%
20,Colorado,5758736,14.5%,1.72%
21,Minnesota,5639632,6.3%,1.70%
22,South Carolina,5148714,11.3%,1.54%
23,Alabama,4903185,2.6%,1.48%
24,Louisiana,4648794,2.5%,1.41%
25,Kentucky,4467673,3.0%,1.35%
26,Oregon,4217737,10.1%,1.27%
27,Oklahoma,3956971,5.5%,1.19%
28,Connecticut,3565287,-0.2%,1.08%
29,Utah,3205958,16.0%,0.96%
30,Iowa,3155070,3.6%,0.95%
32,Nevada,3080156,14.1%,0.92%
33,Arkansas,3017825,3.5%,0.91%
34,Mississippi,2976149,0.3%,0.90%
35,Kansas,2913314,2.1%,0.88%
36,New Mexico,2096829,1.8%,0.63%
37,Nebraska,1934408,5.9%,0.58%
38,Idaho,1787065,14.0%,0.53%
39,West Virginia,1792147,-3.3%,0.55%
40,Hawaii,1415872,4.1%,0.43%
41,New Hampshire,1359711,3.3%,0.41%
42,Maine,1344212,1.2%,0.40%
43,Montana,1068778,8.0%,0.32%
44,Rhode Island,1059361,0.6%,0.32%
45,Delaware,973764,8.4%,0.29%
46,South Dakota,884659,8.7%,0.27%
47,North Dakota,762062,13.3%,0.23%
48,Alaska,731545,3.0%,0.22%
50,Vermont,623989,-0.3%,0.19%
51,Wyoming,578759,2.7%,0.17%
